"","City","Longitude","Latitude"
"1","tokyo",139.751389,35.685
"2","tokyo",147.15,-8.4
"3","delhi",-80.5,42.85
"4","delhi",97.374567,37.376003
"5","delhi",77.216667,28.666667
"6","delhi",-120.7775,37.4322222
"7","delhi",-104.0175,37.6422222
"8","delhi",-82.6741667,33.9136111
"9","delhi",-90.2558333,39.0452778
"10","delhi",-91.3308333,42.4297222
"11","delhi",-91.4930556,32.4575
"12","delhi",-95.2108333,44.5991667
"13","delhi",-91.3475,38.1283333
"14","delhi",-74.9163889,42.2780556
"15","delhi",-84.6052778,39.095
"16","delhi",-99.6761111,35.1747222
"17","delhi",-97.3952778,29.8272222
"18","shanghai",121.058037,29.329547
"19","shanghai",121.399722,31.045556
"20","shanghai",125.7083333,38.42
"21","shanghai",-87.085,34.85
"22","shanghai",-86.3283333,40.4461111
"23","shanghai",-81.6019444,35.2622222
"24","shanghai",-65.745,18.2097222
"25","shanghai",-76.7788889,37.6080556
"26","shanghai",-78.1325,39.4413889
"27","dhaka",90.4086111,23.7230556
"28","dhaka",85.166667,26.683333
"29","dhaka",79.2702,27.8735
"30","dhaka",73.279536,34.049745
"31","dhaka",70.615006,29.091356
"32","dhaka",73.527778,34.312222
"33","sao paulo",14.509003,-9.151022
"34","sao paulo",15.230179,-12.081841
"35","sao paulo",15.990276,-7.044206
"36","sao paulo",14.160921,-7.970611
"37","sao paulo",-36.033333,-9.45
"38","sao paulo",-57.083333,-3.216667
"39","sao paulo",-39.483333,-10.1
"40","sao paulo",-40.016667,-3.8
"41","sao paulo",-41.016667,-20.433333
"42","sao paulo",-45,-1.583333
"43","sao paulo",-38.15,-6.616667
"44","sao paulo",-42.066667,-5.566667
"45","sao paulo",-36.246667,-5.191111
"46","sao paulo",-52.116667,-27.95
"47","sao paulo",-61.4,3.8
"48","sao paulo",-50.95,-27.633333
"49","sao paulo",-46.665803,-23.473293
"50","sao paulo",-37.533333,-10.55
"51","sao paulo",-37.616667,-7.916667
"52","sao paulo",-48.166667,-5.716667
"53","sao paulo",-8.36583,39.955003
"54","sao paulo",6.65,0.2
"55","mexico city",NA,NA
"56","cairo",-72.183333,7.05
"57","cairo",-76.016667,4.666667
"58","cairo",-83.536343,10.122064
"59","cairo",31.25,30.05
"60","cairo",13.816667,41.533333
"61","cairo",-70.5452778,-17.4708333
"62","cairo",-87.1444444,34.8705556
"63","cairo",-92.8697222,33.22
"64","cairo",-85.4772222,30.3047222
"65","cairo",-84.2013889,30.8772222
"66","cairo",-89.1763889,37.0052778
"67","cairo",-86.9247222,40.5408333
"68","cairo",-91.3272222,41.1836111
"69","cairo",-98.5541667,37.65
"70","cairo",-87.6458333,37.7080556
"71","cairo",-88.8975,33.67
"72","cairo",-92.4402778,39.5119444
"73","cairo",-98.6072222,41.0011111
"74","cairo",-73.9988889,42.2988889
"75","cairo",-79.9330556,34.8844444
"76","cairo",-84.0861111,40.8319444
"77","cairo",-96.1316667,34.5905556
"78","cairo",-117.0080556,43.9961111
"79","cairo",-89.1661111,35.8233333
"80","cairo",-81.1575,39.2086111
"81","beijing",116.198733,29.346443
"82","beijing",123.911944,39.8825
"83","beijing",116.388333,39.928889
"84","beijing",110.732778,35.209167
"85","mumbai",72.825833,18.975
"86","osaka",137.266667,35.95
"87","osaka",142.273889,47.014722
"88","osaka",-87.2238889,31.0636111
"89","osaka",-82.8108333,36.9469444
"90","chongqing",127.133732,45.880291
"91","chongqing",106.552778,29.562778
"92","karachi",-64.7666667,-20.4
"93","karachi",74.1,41.4166667
"94","karachi",67.0822,24.9056
"95","karachi",51.766667,57.666667
"96","karachi",55.128449,51.716538
"97","kinshasa",15.3,-4.3
"98","kinshasa",15.3,-4.3
"99","lagos",16.583333,-16.05
"100","lagos",-72.833333,-39.85
"101","lagos",-3.435889,36.794797
"102","lagos",-7.3,42.816667
"103","lagos",-0.216667,43.216667
"104","lagos",-1.7166667,6.0333333
"105","lagos",26.4666667,41.45
"106","lagos",25.1166667,41.0166667
"107","lagos",25.3333333,35.25
